Departure Time,Flyby Time,Arrival Time,Distance of Flyby to Jupiter,Delta V,Status Saturn crossed,Crossing distance S/C-Saturn
2038-02-01 00:00:00.000,2040-08-25 00:00:00.000,2043-07-05 00:00:00.000,410000.0 km,38.78700959623208,False,119153356.42142987
2038-02-01 00:00:00.000,2040-09-04 00:00:00.000,2043-08-07 00:00:00.000,410000.0 km,38.79469561415718,False,122306447.53209008
2038-02-01 00:00:00.000,2040-09-14 00:00:00.000,2043-09-10 00:00:00.000,410000.0 km,38.80259702379873,False,125224136.44760416
2038-02-01 00:00:00.000,2040-09-24 00:00:00.000,2043-10-16 00:00:00.000,410000.0 km,38.810697470063424,False,127880389.93677263
2038-02-01 00:00:00.000,2040-10-04 00:00:00.000,2043-11-22 00:00:00.000,410000.0 km,38.818981599802065,False,130246027.05722162
2038-02-01 00:00:00.000,2040-10-14 00:00:00.000,2043-12-31 12:00:00.000,410000.0 km,38.827434998344145,False,132288087.09014603
2038-02-01 00:00:00.000,2040-10-24 00:00:00.000,2044-02-10 00:00:00.000,410000.0 km,38.83604412649205,False,133969856.48111008
2038-02-01 00:00:00.000,2040-11-03 00:00:00.000,2044-03-24 00:00:00.000,410000.0 km,38.84479627783969,False,135249089.64868304
2038-02-01 00:00:00.000,2040-11-13 00:00:00.000,2044-05-08 00:00:00.000,410000.0 km,38.8536795385334,False,136078433.6596991
2038-02-01 00:00:00.000,2040-11-23 00:00:00.000,2044-06-24 12:00:00.000,410000.0 km,38.86268271703399,False,136405122.78212205
2038-02-01 00:00:00.000,2040-12-03 00:00:00.000,2044-08-13 00:00:00.000,410000.0 km,38.87179528528514,False,136169964.84654126
